Name,European political group,Member State,National Party,Status,link
Lars ADAKTUSSON,EPP,Sweden,Kristdemokraterna,Inactive,https://www.votewatch.eu/en/term8-lars-adaktusson.html
Isabella ADINOLFI,EFDD,Italy,Movimento 5 Stelle,Active,https://www.votewatch.eu/en/term8-isabella-adinolfi.html
Marco AFFRONTE,Greens/EFA,Italy,Independent,Active,https://www.votewatch.eu/en/term8-marco-affronte.html
Laura AGEA,EFDD,Italy,Movimento 5 Stelle,Active,https://www.votewatch.eu/en/term8-laura-agea.html
John Stuart AGNEW,ENF,United Kingdom,United Kingdom Independence Party,Active,https://www.votewatch.eu/en/term8-john-stuart-agnew.html
Clara Eugenia AGUILERA GARCÍA,S&D,Spain,Partido Socialista Obrero Español,Active,https://www.votewatch.eu/en/term8-clara-eugenia-aguilera-garcia.html
Daniela AIUTO,EFDD,Italy,Movimento 5 Stelle,Active,https://www.votewatch.eu/en/term8-daniela-aiuto.html
Tim AKER,EFDD,United Kingdom,The Brexit Party,Active,https://www.votewatch.eu/en/term8-tim-aker.html
Marina ALBIOL GUZMÁN,GUE-NGL,Spain,Izquierda Unida,Active,https://www.votewatch.eu/en/term8-marina-albiol-guzman.html
Jan Philipp ALBRECHT,Greens/EFA,Germany,Bündnis 90/Die Grünen,Inactive,https://www.votewatch.eu/en/term8-jan-philipp-albrecht.html
Nedzhmi ALI,ALDE/ADLE,Bulgaria,Movement for Rights and Freedoms,Active,https://www.votewatch.eu/en/term8-nedzhmi-ali.html
Louis ALIOT,ENF,France,Front national,Inactive,https://www.votewatch.eu/en/term8-louis-aliot.html
Michèle ALLIOT-MARIE,EPP,France,Les Républicains,Active,https://www.votewatch.eu/en/term8-michele-alliot-marie.html
Lucy ANDERSON,S&D,United Kingdom,Labour Party,Active,https://www.votewatch.eu/en/term8-lucy-anderson.html
Martina ANDERSON,GUE-NGL,United Kingdom,Sinn Féin,Active,https://www.votewatch.eu/en/term8-martina-anderson.html
Max ANDERSSON,Greens/EFA,Sweden,Miljöpartiet de gröna,Active,https://www.votewatch.eu/en/term8-max-andersson.html
Eric ANDRIEU,S&D,France,Parti Socialiste,Active,https://www.votewatch.eu/en/term8-eric-andrieu.html
Nikos ANDROULAKIS,S&D,Greece,Panhellenic Socialist Movement - Olive Tree,Active,https://www.votewatch.eu/en/term8-nikos-androulakis.html
Gerolf ANNEMANS,ENF,Belgium,Vlaams Belang,Active,https://www.votewatch.eu/en/term8-gerolf-annemans.html
Andrus ANSIP,ALDE/ADLE,Estonia,Eesti Reformierakond,Inactive,https://www.votewatch.eu/en/term8-andrus-ansip.html
Maria ARENA,S&D,Belgium,Parti Socialiste,Active,https://www.votewatch.eu/en/term8-maria-arena.html
Miguel ARIAS CAÑETE,EPP,Spain,Partido Popular,Inactive,https://www.votewatch.eu/en/term8-miguel-arias-canete.html
Pascal ARIMONT,EPP,Belgium,Christlich Soziale Partei,Active,https://www.votewatch.eu/en/term8-pascal-arimont.html
Marie-Christine ARNAUTU,ENF,France,Rassemblement national,Active,https://www.votewatch.eu/en/term8-marie-christine-arnautu.html
Jonathan ARNOTT,EFDD,United Kingdom,Independent,Active,https://www.votewatch.eu/en/term8-jonathan-arnott.html
Jean ARTHUIS,ALDE/ADLE,France,La République en marche,Active,https://www.votewatch.eu/en/term8-jean-arthuis.html
Richard ASHWORTH,EPP,United Kingdom,Conservative Party,Active,https://www.votewatch.eu/en/term8-richard-ashworth.html
Francisco ASSIS,S&D,Portugal,Partido Socialista,Active,https://www.votewatch.eu/en/term8-francisco-assis.html
Janice ATKINSON,ENF,United Kingdom,Independent,Active,https://www.votewatch.eu/en/term8-janice-atkinson.html
Margrete AUKEN,Greens/EFA,Denmark,Socialistisk Folkeparti,Active,https://www.votewatch.eu/en/term8-margrete-auken.html
Petras AUŠTREVIČIUS,ALDE/ADLE,Lithuania,Lietuvos Respublikos liberalų sąjūdis,Active,https://www.votewatch.eu/en/term8-petras-austrevicius.html
Inés AYALA SENDER,S&D,Spain,Partido Socialista Obrero Español,Active,https://www.votewatch.eu/en/term8-ines-ayala-sender.html
Pilar AYUSO,EPP,Spain,Partido Popular,Active,https://www.votewatch.eu/en/term8-pilar-ayuso.html
Johannes Cornelis van BAALEN,ALDE/ADLE,Netherlands,Volkspartij voor Vrijheid en Democratie,Active,https://www.votewatch.eu/en/term8-johannes-cornelis-van-baalen.html
Georges BACH,EPP,Luxembourg,Parti chrétien social luxembourgeois,Active,https://www.votewatch.eu/en/term8-georges-bach.html
Guillaume BALAS,S&D,France,"Génération.s, le mouvement",Active,https://www.votewatch.eu/en/term8-guillaume-balas.html
Zigmantas BALČYTIS,S&D,Lithuania,Lietuvos socialdemokratų partija,Active,https://www.votewatch.eu/en/term8-zigmantas-balcytis.html
Zoltán BALCZÓ,NI,Hungary,JOBBIK MAGYARORSZÁGÉRT MOZGALOM,Active,https://www.votewatch.eu/en/term8-zoltan-balczo.html
Burkhard BALZ,EPP,Germany,Christlich Demokratische Union Deutschlands,Inactive,https://www.votewatch.eu/en/term8-burkhard-balz.html
Nikolay BAREKOV,ECR,Bulgaria,Reload Bulgaria Party,Active,https://www.votewatch.eu/en/term8-nikolay-barekov.html
Amjad BASHIR,ECR,United Kingdom,Conservative Party,Active,https://www.votewatch.eu/en/term8-amjad-bashir.html
Gerard BATTEN,ENF,United Kingdom,United Kingdom Independence Party,Active,https://www.votewatch.eu/en/term8-gerard-batten.html
Nicolas BAY,ENF,France,Rassemblement national,Active,https://www.votewatch.eu/en/term8-nicolas-bay.html
Hugues BAYET,S&D,Belgium,Parti Socialiste,Active,https://www.votewatch.eu/en/term8-hugues-bayet.html
Catherine BEARDER,ALDE/ADLE,United Kingdom,Liberal Democrats,Active,https://www.votewatch.eu/en/term8-catherine-bearder.html
Beatriz BECERRA BASTERRECHEA,ALDE/ADLE,Spain,Independiente,Active,https://www.votewatch.eu/en/term8-beatriz-becerra-basterrechea.html
Heinz K. BECKER,EPP,Austria,Österreichische Volkspartei,Active,https://www.votewatch.eu/en/term8-heinz-k-becker.html
Tiziana BEGHIN,EFDD,Italy,Movimento 5 Stelle,Active,https://www.votewatch.eu/en/term8-tiziana-beghin.html
Bas BELDER,ECR,Netherlands,Staatkundig Gereformeerde Partij,Active,https://www.votewatch.eu/en/term8-bas-belder.html
Ivo BELET,EPP,Belgium,Christen-Democratisch & Vlaams,Active,https://www.votewatch.eu/en/term8-ivo-belet.html
Bendt BENDTSEN,EPP,Denmark,Det Konservative Folkeparti,Active,https://www.votewatch.eu/en/term8-bendt-bendtsen.html
Brando BENIFEI,S&D,Italy,Partito Democratico,Active,https://www.votewatch.eu/en/term8-brando-benifei.html
Pervenche BERÈS,S&D,France,Parti Socialiste,Active,https://www.votewatch.eu/en/term8-pervenche-beres.html
