,Number of votes in total,Number of votings when MEP was present,Presence (%),Particiation (%),Number of 'wrong votes',Share of votes that were 'wrong' (of the votings where the MEP was present),Number of corrected votes in total,Share of votes that were corrected (of the votings where the MEP was present),European political group,Member State
Johan VAN OVERTVELDT,82,39.0,0.47560975609756095,0.47560975609756095,2.0,0.05128205128205128,2.0,0.05128205128205128,ECR,Belgium
Jean-Luc MÉLENCHON,5472,4578.0,0.8366228070175439,0.8084795321637427,163.0,0.03560506771515946,241.0,0.0526430755788554,GUE-NGL,France
Brice HORTEFEUX,10049,9986.0,0.9937307194745746,0.8882475868245596,220.0,0.022030843180452633,290.0,0.029040656919687564,EPP,France
Christos STYLIANIDES,140,140.0,1.0,0.35714285714285715,3.0,0.02142857142857143,3.0,0.02142857142857143,EPP,Cyprus
Rachida DATI,10049,8693.0,0.8650612001194149,0.8026669320330381,163.0,0.01875071896928563,203.0,0.023352122397331185,EPP,France
Fernando MAURA BARANDIARÁN,2158,2095.0,0.9708063021316033,0.9657089898053753,36.0,0.017183770883054894,36.0,0.017183770883054894,ALDE/ADLE,Spain
Javier NART,10049,8668.0,0.8625733903871032,0.8125186585729923,128.0,0.014766958929395477,128.0,0.014766958929395477,ALDE/ADLE,Spain
Anna Maria CORAZZA BILDT,10049,8540.0,0.8498358045576674,0.7891332470892626,123.0,0.014402810304449648,167.0,0.01955503512880562,EPP,Sweden
William (The Earl of) DARTMOUTH,10049,7103.0,0.7068365011443924,0.6143894914916908,102.0,0.014360129522736872,102.0,0.014360129522736872,EFDD,United Kingdom
Carolina PUNSET  This person became MEP later than the general start of the term.,7447,5093.0,0.6838995568685377,0.6642943467167987,70.0,0.013744354997054781,70.0,0.013744354997054781,ALDE/ADLE,Spain
Juan Fernando LÓPEZ AGUILAR,10049,9185.0,0.9140212956513086,0.846551895711016,120.0,0.0130647795318454,124.0,0.013500272182906914,S&D,Spain
Christofer FJELLNER,10049,8675.0,0.8632699771121505,0.786446412578366,109.0,0.012564841498559078,110.0,0.012680115273775217,EPP,Sweden
Vicky FORD,5412,4818.0,0.8902439024390244,0.8309312638580931,59.0,0.012245745122457451,61.0,0.01266085512660855,ECR,United Kingdom
José BLANCO LÓPEZ,10049,9983.0,0.9934321823066972,0.9734301920589113,122.0,0.01222077531804067,129.0,0.012921967344485625,S&D,Spain
Tibor SZANYI,10049,9682.0,0.9634789531296647,0.9316349885560752,115.0,0.011877711216690767,115.0,0.011877711216690767,S&D,Hungary
Louis ALIOT,5619,4601.0,0.818828973126891,0.7613454351308062,48.0,0.010432514670723756,51.0,0.01108454683764399,ENF,France
Soledad CABEZÓN RUIZ,10049,9837.0,0.978903373469997,0.9226788735197532,101.0,0.010267357934329572,101.0,0.010267357934329572,S&D,Spain
Emma McCLARKIN,10049,7932.0,0.7893322718678476,0.7174843267986865,80.0,0.010085728693898134,80.0,0.010085728693898134,ECR,United Kingdom
Rolandas PAKSAS,10049,8752.0,0.8709324310876704,0.8260523435167678,85.0,0.009712065813528336,93.0,0.010626142595978062,EFDD,Lithuania
Karol KARSKI,10049,9818.0,0.9770126380734402,0.8910339337247487,93.0,0.009472397636993278,100.0,0.010185373803218578,ECR,Poland
Marine LE PEN,5472,4452.0,0.8135964912280702,0.7585891812865497,41.0,0.009209344115004492,48.0,0.01078167115902965,ENF,France
Enrique GUERRERO SALOM,10049,9217.0,0.9172056921086675,0.852721663847149,84.0,0.009113594445047196,84.0,0.009113594445047196,S&D,Spain
Monica MACOVEI,10049,9873.0,0.9824858194845258,0.9381032938600856,87.0,0.00881191127316925,87.0,0.00881191127316925,ECR,Romania
Nicolas BAY,10049,9758.0,0.9710418947158921,0.8679470594088964,80.0,0.00819840131174421,82.0,0.008403361344537815,ENF,France
Daniel HANNAN,10049,7507.0,0.7470395064185491,0.6754900985172654,61.0,0.008125749300652725,61.0,0.008125749300652725,ECR,United Kingdom
João PIMENTA LOPES  This person became MEP later than the general start of the term.,7462,7349.0,0.9848566068078263,0.9279013669257572,58.0,0.007892230235406177,62.0,0.008436521975779017,GUE-NGL,Portugal
Florian PHILIPPOT,10049,8306.0,0.8265499054632302,0.7481341427007663,64.0,0.007705273296412232,69.0,0.008307247772694438,EFDD,France
Kostadinka KUNEVA,10049,8957.0,0.8913324708926261,0.7402726639466614,69.0,0.007703472144691303,166.0,0.01853299095679357,GUE-NGL,Greece
Mireille D'ORNANO,10049,9835.0,0.9787043486914121,0.9260622947556971,75.0,0.007625826131164209,80.0,0.00813421453990849,EFDD,France
Patricia LALONDE  This person became MEP later than the general start of the term.,4687,3803.0,0.8113932152762962,0.6803925752080222,29.0,0.0076255587693925845,73.0,0.019195372074677888,ALDE/ADLE,France
Lívia JÁRÓKA  This person became MEP later than the general start of the term.,4302,3172.0,0.7373314737331473,0.5843793584379359,24.0,0.007566204287515763,28.0,0.008827238335435058,EPP,Hungary
Isabelle THOMAS,10049,9926.0,0.9877599761170266,0.9449696487212658,74.0,0.007455168245013097,74.0,0.007455168245013097,S&D,France
Charles TANNOCK,10049,9987.0,0.9938302318638671,0.9693501840979202,73.0,0.007309502353058977,74.0,0.0074096325222789625,ECR,United Kingdom
Damian DRĂGHICI,10049,6612.0,0.6579759180017912,0.5546820579162106,48.0,0.007259528130671506,49.0,0.007410768300060496,S&D,Romania
Javi LÓPEZ,10049,9395.0,0.9349188974027266,0.8289382028062494,68.0,0.007237892496008515,68.0,0.007237892496008515,S&D,Spain
Jan ZAHRADIL,10049,9465.0,0.9418847646531994,0.8868544133744651,68.0,0.007184363444268357,112.0,0.011833069202324353,ECR,Czech Republic
Lars ADAKTUSSON,7685,6547.0,0.8519193233571893,0.8465842550422902,47.0,0.007178860546815336,47.0,0.007178860546815336,EPP,Sweden
