National Party,Number of votes in total,Number of votings when MEP was present,Presence (%),Particiation (%),Number of 'wrong votes',Share of votes that were 'wrong' (of the votings where the MEP was present),Number of corrected votes in total,Share of votes that were corrected (of the votings where the MEP was present),Member State
Delegación Ciudadanos Europeos,2158,2095.0,0.9708063021316033,0.9657089898053753,36.0,0.017183770883054894,36.0,0.017183770883054894,Spain
Ciudadanos – Partido de la Ciudadanía,12569,10782.0,0.8578248070650012,0.8130320630121728,141.0,0.013077351140790205,141.0,0.013077351140790205,Spain
Moderaterna,30147,26925.0,0.8931236938998905,0.8194181842306034,294.0,0.010919220055710306,343.0,0.012739090064995358,Sweden
Partija Tvarka ir teisingumas,10049,8752.0,0.8709324310876704,0.8260523435167678,85.0,0.009712065813528336,93.0,0.010626142595978062,Lithuania
Front de Gauche,30147,27348.0,0.9071549407901284,0.8420406673964241,229.0,0.00837355565306421,345.0,0.012615182097411146,France
Les Patriotes,20098,18141.0,0.9026271270773212,0.8370982187282316,139.0,0.007662201642687834,149.0,0.008213439170938757,France
Union des Démocrates et Indépendants,4687,3803.0,0.8113932152762962,0.6803925752080222,29.0,0.0076255587693925845,73.0,0.019195372074677888,France
Partit dels Socialistes de Catalunya,10049,9395.0,0.9349188974027266,0.8289382028062494,68.0,0.007237892496008515,68.0,0.007237892496008515,Spain
Front national,37661,27912.0,0.741138047316853,0.6733756405830966,198.0,0.007093723129836629,217.0,0.007774433935224993,France
Partido Comunista Português,30147,28628.0,0.9496135602215809,0.9119978770690285,193.0,0.006741651529970658,212.0,0.007405337431884868,Portugal
Magyar Szocialista Párt,20098,18301.0,0.9105881182207185,0.8490894616379739,118.0,0.006447735096442818,122.0,0.006666302387847658,Hungary
Partido Socialista Obrero Español,130637,124432.0,0.9525019711107879,0.904674785856993,792.0,0.006364922206506365,813.0,0.006533689083194034,Spain
Coalition of the Radical Left,31347,30134.0,0.9613041120362396,0.8101572718282452,191.0,0.006338355346120661,323.0,0.010718789407313998,Greece
Les Républicains,160784,146513.0,0.9112411682754503,0.867536570803065,890.0,0.006074546285995099,1128.0,0.007698975517530867,France
Kristdemokraterna,10030,8774.0,0.8747756729810569,0.853938185443669,52.0,0.0059266013220879874,52.0,0.0059266013220879874,Sweden
"Génération.s, le mouvement",20098,19870.0,0.9886555876206587,0.9552691810130362,110.0,0.0055359838953195776,110.0,0.0055359838953195776,France
Agir - La Droite constructive,10049,9773.0,0.9725345805552791,0.9605930938401831,54.0,0.005525427197380538,58.0,0.005934718100890208,France
NOVA,10049,8246.0,0.8205791621056822,0.8040601054831327,45.0,0.005457191365510551,45.0,0.005457191365510551,Slovakia
Sinn Féin,40196,34752.0,0.8645636381729526,0.8227933127674395,182.0,0.0052371086556169425,260.0,0.00748158379373849,United Kingdom
Sinn Féin,40196,34752.0,0.8645636381729526,0.8227933127674395,182.0,0.0052371086556169425,260.0,0.00748158379373849,Ireland
Arbetarepartiet- Socialdemokraterna,50003,45379.0,0.907525548467092,0.8728876267423955,237.0,0.0052226800943167544,237.0,0.0052226800943167544,Sweden
Rassemblement national,123123,118255.0,0.9604623019257166,0.9085142499776646,616.0,0.005209082068411483,683.0,0.005775654306371824,France
Debout la France,20098,19314.0,0.9609911433973529,0.913673002288785,99.0,0.005125815470643057,124.0,0.0064202133167650405,France
Bloco de Esquerda,10049,9313.0,0.9267588814807444,0.9100408000796099,46.0,0.004939332116396435,46.0,0.004939332116396435,Portugal
Bündnis C,10049,9854.0,0.9805950840879689,0.8670514479052642,47.0,0.004769636695758068,47.0,0.004769636695758068,Germany
Občanská demokratická strana,20098,19343.0,0.9624340730420937,0.9271569310379142,92.0,0.0047562425683709865,139.0,0.007186062141343121,Czech Republic
Mouvement Radical,4687,4248.0,0.9063366759120973,0.7563473437166631,20.0,0.004708097928436911,21.0,0.0049435028248587575,France
